Noise,Smoothed_Tot,Log_Tot,NN_Tot,CurvedNN_Tot,Smoothed_Low,Log_Low,NN_Low,CurvedNN_Low,Smoothed_High,Log_High,NN_High,CurvedNN_High
high,0.6745250309780529,1.076262708968014,0.5447197350753807,0.43141457508978076,0.20879837664506393,0.7824800076896304,0.22817483510192305,0.22817483510192305,2.1001992030106713,2.5316504195534217,1.6276676686675602,1.2145673841624725
high,0.6862057608165876,1.0767558114061868,0.5614377449637232,0.42306932862829094,0.2089593141735983,0.7824105935399536,0.3065827533926641,0.3065827533926641,2.1398417138082304,2.5340814557728497,1.5628283046929605,0.9981416122811755
high,0.6681863097253701,1.0756998059293124,0.5706676952091491,0.4344148621058945,0.20584752391103503,0.7820408402243771,0.3282098502034678,0.3282098502034678,2.0814057079705046,2.530415238759119,1.5560677451122715,0.9836415698551034
high,0.6657821236769261,1.0751631555742696,0.5552260874304885,0.4291219004391236,0.20728113444595317,0.782163508357609,0.29509393943224677,0.29509393943224677,2.0718369311255724,2.5276278794682305,1.5605342977216934,1.0571249560042963
high,0.6729547218347939,1.0760272081549314,0.5660126293588773,0.4360601318842641,0.2073679408847559,0.7831004234796789,0.31621119816935706,0.31621119816935706,2.0962104461750384,2.528741386885952,1.5618983821860588,1.0281567215604883
high,0.6743767077735529,1.0750143946311614,0.5591160231239591,0.41899533044097015,0.20723392326730158,0.7823949920059782,0.30268114709968585,0.30268114709968585,2.101183323997177,2.5262669082416727,1.56130454078433,0.9913254451608633
high,0.6765648830507425,1.0744782385564153,0.5646346227280333,0.4354340528750687,0.2089084843465556,0.7821202005047265,0.31289004162525724,0.31289004162525724,2.107048186799646,2.524663163454616,1.5630347014652086,1.0350868801299073
mid,0.5388456141790762,0.8001050368499706,0.42111524109645015,0.3420011483663741,0.14088610424373596,0.45513862093137,0.13458253691215502,0.13458253691215502,1.7004430023121186,2.191804960069306,1.3070704011071128,1.0332073458826119
mid,0.5427316819805561,0.8007330790558018,0.4212700214166823,0.34466926255728175,0.1407568594646379,0.455424820932963,0.15173737281949184,0.15173737281949184,1.7136148560495978,2.1936672943512483,1.2894131047412576,1.0196744165100704
mid,0.5399323625650361,0.8009592129637317,0.426524363967731,0.3365067568017261,0.14092357710281075,0.4548840063319227,0.15183051136814477,0.15183051136814477,1.7040688073019168,2.1956218298406447,1.3075181916942133,0.9901710052239183
mid,0.539339238938618,0.8015838356375276,0.4264812207774628,0.3476649404854251,0.1407541227926211,0.4551758442474955,0.16200087317407333,0.16200087317407333,1.702208510153466,2.1974593684586154,1.2955776179410414,1.0152781463985647
mid,0.5352424271906181,0.7993939747318943,0.4199207948343154,0.34319346520762234,0.14162237755570145,0.45507410344099636,0.15551329558803773,0.15551329558803773,1.6877266673500875,2.189177874882872,1.280383405752905,1.0088623923902917
mid,0.5353709874636272,0.8002600848224004,0.42056074014844064,0.3375848113392722,0.1406661124350143,0.4550734605879954,0.14882933278666355,0.14882933278666355,1.68892811987361,2.1925358500919945,1.2902140619705846,0.9984137428768657
mid,0.5317217702279936,0.7984476329492277,0.42568307595734906,0.34536905431689585,0.1405317639664217,0.454560813100632,0.15378737687069544,0.15378737687069544,1.6767536028658814,2.1865354249770683,1.3023985305496821,1.0192347419667411
low,0.5102590667038389,0.6200815620577829,0.3406666032811474,0.26003247036539845,0.12429422220559451,0.21445324000925658,0.07161579428409529,0.07161579428409529,1.6172326319935313,1.9077692829426716,1.0875178043557838,0.8176153988595448
low,0.5140262804695159,0.6200785174373208,0.3255245490056039,0.2875434070128432,0.1243480137379638,0.21407529670863526,0.09066534670579754,0.09066534670579754,1.629808673271615,1.908166904959404,1.0226831467289763,0.893694413508071
low,0.5120145977168022,0.6202249342963994,0.3175293861662484,0.30877476587794056,0.12429489731338228,0.21411378934282643,0.08096240827029469,0.08096240827029469,1.6231116386863427,1.908630479141099,1.0036505452191977,0.9742211932500207
low,0.5133893202627423,0.6205360365821424,0.3327392151981248,0.28154293139702274,0.12426157355701964,0.21422639549353978,0.09283564555922544,0.09283564555922544,1.6277394378421557,1.909582222759734,1.0452118159671802,0.8709817185170634
low,0.5071281078582075,0.6188753766236138,0.3286370930924232,0.2852456499115475,0.12434149702953935,0.2136861139376881,0.08926379246463327,0.08926379246463327,1.6067086063099023,1.9044362272555198,1.0343697766243636,0.887210660743632
low,0.5107080131324582,0.6211872703685821,0.3245127752365379,0.28475761522970794,0.12439866056343749,0.21398321306167328,0.09075913096052735,0.09075913096052735,1.6186591747530439,1.9120905197472386,1.019183613205936,0.884082046445103
low,0.5106096103852276,0.6197945633067359,0.3386863053133138,0.2847956612618107,0.124311930647269,0.21431882757168502,0.12073989396191538,0.12073989396191538,1.6183936614860208,1.906924286671838,1.0380509689075206,0.8490334004831915
